0,2,4,2,2019-01-07 00:00:00
1,4,2,4,2019-01-07 00:00:00
2,5,4,1,2019-01-07 00:00:00
3,5,4,1,2019-01-07 00:00:00
4,5,4,1,2019-01-07 00:00:00
5,5,5,4,2019-01-07 00:00:00
6,5,4,5,2019-01-07 00:00:00
7,5,1,2,2019-01-07 00:00:00
8,5,4,4,2019-01-07 00:00:00
9,5,1,4,2019-01-07 00:00:00
10,5,3,4,2019-01-07 00:00:00
11,5,1,5,2019-01-07 00:00:00
12,5,4,4,2019-01-07 00:00:00
13,5,4,4,2019-01-07 00:00:00
14,5,4,4,2019-01-07 00:00:00
15,5,5,5,2019-01-07 00:00:00
16,5,4,5,2019-01-07 00:00:00
17,5,1,4,2019-01-07 00:00:00
18,5,5,3,2019-01-07 00:00:00
0,5,3,4,2019-01-07 00:00:00
1,5,1,4,2019-01-07 00:00:00
2,5,1,4,2019-01-07 00:00:00
3,5,4,1,2019-01-07 00:00:00
4,5,5,4,2019-01-07 00:00:00
5,5,4,4,2019-01-07 00:00:00
6,4,4,4,2019-01-07 00:00:00
7,5,4,4,2019-01-07 00:00:00
8,3,3,4,2019-01-07 00:00:00
9,3,4,3,2019-01-07 00:00:00
10,5,5,4,2019-01-07 00:00:00
11,3,2,2,2019-01-07 00:00:00
12,5,4,4,2019-01-07 00:00:00
13,3,4,4,2019-01-07 00:00:00
14,5,4,4,2019-01-07 00:00:00
15,3,3,3,2019-01-07 00:00:00
16,5,2,4,2019-01-07 00:00:00
17,5,4,4,2019-01-07 00:00:00
18,4,4,3,2019-01-07 00:00:00
19,5,4,4,2019-01-07 00:00:00
20,5,4,4,2019-01-07 00:00:00
21,5,4,2,2019-01-07 00:00:00
22,5,4,4,2019-01-07 00:00:00
23,5,4,4,2019-01-07 00:00:00
24,1,2,4,2019-01-07 00:00:00
25,5,5,4,2019-01-07 00:00:00
26,5,4,4,2019-01-07 00:00:00
27,4,4,3,2019-01-07 00:00:00
28,5,4,4,2019-01-07 00:00:00
0,5,1,5,2019-01-07 00:00:00
1,5,4,5,2019-01-07 00:00:00
2,5,4,5,2019-01-07 00:00:00
3,5,4,5,2019-01-07 00:00:00
4,5,4,5,2019-01-07 00:00:00
5,5,4,5,2019-01-07 00:00:00
6,5,5,3,2019-01-07 00:00:00
7,5,5,5,2019-01-07 00:00:00
8,5,4,3,2019-01-07 00:00:00
9,5,3,5,2019-01-07 00:00:00
10,5,1,5,2019-01-07 00:00:00
11,1,5,5,2019-01-07 00:00:00
12,5,4,2,2019-01-07 00:00:00
0,5,5,3,2019-01-07 00:00:00
1,5,2,3,2019-01-07 00:00:00
2,5,2,3,2019-01-07 00:00:00
3,5,4,3,2019-01-07 00:00:00
4,5,4,3,2019-01-07 00:00:00
5,5,4,1,2019-01-07 00:00:00
6,4,4,3,2019-01-07 00:00:00
7,1,4,2,2019-01-07 00:00:00
8,5,4,3,2019-01-07 00:00:00
9,5,3,1,2019-01-07 00:00:00
10,5,5,3,2019-01-07 00:00:00
11,3,4,2,2019-01-07 00:00:00
12,5,4,5,2019-01-07 00:00:00
13,5,2,5,2019-01-07 00:00:00
14,5,4,2,2019-01-07 00:00:00
15,5,4,3,2019-01-07 00:00:00
16,3,4,4,2019-01-07 00:00:00
0,5,4,5,2019-01-07 00:00:00
1,5,1,5,2019-01-07 00:00:00
2,5,5,5,2019-01-07 00:00:00
3,1,2,2,2019-01-07 00:00:00
4,5,4,3,2019-01-07 00:00:00
5,2,4,5,2019-01-07 00:00:00
6,3,5,1,2019-01-07 00:00:00
7,5,2,5,2019-01-07 00:00:00
8,5,4,5,2019-01-07 00:00:00
9,5,1,5,2019-01-07 00:00:00
10,4,4,5,2019-01-07 00:00:00
11,5,4,5,2019-01-07 00:00:00
12,5,4,3,2019-01-07 00:00:00
13,5,4,5,2019-01-07 00:00:00
14,5,4,5,2019-01-07 00:00:00
15,5,5,5,2019-01-07 00:00:00
16,5,4,5,2019-01-07 00:00:00
17,4,4,5,2019-01-07 00:00:00
18,5,5,4,2019-01-07 00:00:00
19,5,1,1,2019-01-07 00:00:00
20,5,3,5,2019-01-07 00:00:00
21,5,4,3,2019-01-07 00:00:00
22,5,4,5,2019-01-07 00:00:00
23,2,4,5,2019-01-07 00:00:00
24,5,5,5,2019-01-07 00:00:00
25,5,4,5,2019-01-07 00:00:00
26,5,3,5,2019-01-07 00:00:00
27,3,5,3,2019-01-07 00:00:00
28,5,2,5,2019-01-07 00:00:00
29,5,5,1,2019-01-07 00:00:00
30,3,4,5,2019-01-07 00:00:00
31,5,2,5,2019-01-07 00:00:00
0,2,4,5,2019-01-08 00:00:00
1,5,5,3,2019-01-08 00:00:00
